Universidad Autónoma;Metropolitana;Providencia;Av. Pedro de Valdivia 425;-;Centro de acopio;Varios;-;-;-;-;-70.611176;-33.427534;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Universidad Mayor;Metropolitana;Providencia;Manuel Montt 367;-;Centro de acopio;Varios;10:00 a 14:00;-;-;-;-70.618367;-33.431855;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Agrupación Lésbica Rompiendo el Silencio;Metropolitana;Providencia;Condell 1325;Pumanque;Centro de acopio;Varios;10:00 a 20:30;-;-;-;-70.626000;-33.447038;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Fundación SCPA;Metropolitana;Santiago Centro;Metro Universidad de Chile Salida Ahumada;-;Centro de acopio;Para animales;11:00 a 13:00;sab 28 de enero;-;-;-70.650401;-33.443451;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Poblasur;Metropolitana;San Bernardo;Zenón Torrealba con Ramón Liborio Carvallo;-;Centro de acopio;Varios;11:00 a 20:00;sab 28 de enero;-;-;-70.698740;-33.608834;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Casa Bolivar;Metropolitana;Santiago Centro;Av. Brasil 658;-;Centro de acopio;Varios;-;lu a vi;-;-;-70.664422;-33.436936;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Federación de Estudiantes UTEM;Metropolitana;Santiago Centro;Padre Felipe Gomez de Vidaurre 1550 2do piso;-;Centro de acopio;Varios;-;-;-;-;-70.657330;-33.448376;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Codeff;Metropolitana;Santiago Centro;Alonso Ovalle 612;-;Centro de acopio;Para animales;-;-;-;-;-70.644585;-33.445105;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Tercera Compañía de Bomberos;Metropolitana;Quilicura;San Luis Norte 780;-;Centro de acopio;Varios;-;-;-;-;-70.754957;-33.359140;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Colegio Don Orione;Metropolitana;Cerrillos;Camino a Melipilla 7335;Pumanque;Centro de acopio;Varios;10:00 a 19:00;-;-;-;-70.712175;-33.503743;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
