Escuela Básica Florida F-634;Biobio;Florida;-72.663478;-36.826133;www.biobiochile.cl;Ana Karina Maldonado Geógrafa U de Chile Santiago
Escuela Los Conquistadores;Biobio;Penco;-72.990798;-36.734812;www.biobiochile.cl;Ana Karina Maldonado Geógrafa U de Chile Santiago
Colegio España;VIII;Concepción;-73.03643;-36.82404;www.biobiochile.cl;Valeria Vidal Lienciada en Geografía U. de Concepción es de Concepción
Escuela Enrique Don Müller;Maule;Constitución;-72.407064;-35.333516;Terreno;Felipe Jara estudiante de Geografía UAHC de Constitución
Escuela Maestra M.fresia Hormazabal Letelier;Maule;Constitución;-72.406837;-35.33418;Terreno;Felipe Jara estudiante de Geografía UAHC de Constitución
Escuela Cerro Alto José Opazo Díaz;Maule;Constitución;-72.416443;-35.34345;Terreno;Felipe Jara estudiante de Geografía UAHC de Constitución
Estadio Municipal Enrique Donn Müller;Maule;Constitución;-72.409036;-35.33877;;Felipe Jara estudiante de Geografía UAHC de Constitución
Escuela Superior Nueva Bilbao;Maule;Constitución;-72.401516;-35.33934;Terreno;Felipe Jara estudiante de Geografía UAHC de Constitución
